chromosome	chromosome_start	chromosome_end	entrez_gene_id	snps_hh550	snps_ho1	snps_affy500	snps_exac	snps_kg3
chr1	2439972	2458050	55229	4	17	5	10	72
chr1	2460184	2461684	388585	2	10	4	1	47
chr1	2487078	2497061	8764	2	16	1	6	49
chr1	2517930	2522908	127281	2	10	2	7	62
chr1	2522078	2564429	79258	5	19	6	16	138
chr1	2567415	2706280	100287898	3	7	1	5	201
chr1	2938046	2939465	140625	5	12	4	3	68
chr1	3370990	3397677	27237	10	19	3	6	127
chr1	3406484	3528059	1953	30	55	10	27	508
chr1	3541566	3546691	127262	6	12	2	4	84
chr1	3547331	3569325	49856	8	19	2	4	125
chr1	3569084	3652765	7161	15	52	7	19	334
chr1	3668962	3688208	148870	14	23	9	12	143
chr1	3696784	3713068	57470	6	13	9	3	145
chr1	3728645	3773797	9731	13	23	18	27	329
chr1	3773845	3801993	1677	13	23	5	16	266
chr1	3805689	3816857	339448	9	19	2	5	113
chr1	4714792	4843850	55966	57	109	45	5	573
chr1	5922871	6052533	261734	27	51	38	13	364
chr1	6051526	6161253	8514	18	41	16	11	307
chr1	6161853	6240183	26038	19	42	5	31	325
chr1	6241329	6269449	6146	3	15	1	8	103
chr1	6265535	6281359	388591	3	16	3	7	70
chr1	6281252	6296032	23463	3	13	3	6	55
chr1	6304252	6305638	390992	1	8	0	4	29
chr1	6307406	6321035	387509	4	19	2	4	64
chr1	6324333	6454451	11332	14	46	16	3	427
chr1	6472478	6484730	54626	3	9	1	1	109
chr1	6484848	6521430	83715	6	24	3	13	148
chr1	6521211	6526255	8718	4	14	1	12	40
chr1	6526152	6580121	57449	13	33	5	15	179
chr1	6581407	6614595	79707	10	20	8	4	170
chr1	6615241	6639817	80835	8	18	5	6	93
chr1	6640061	6649340	3104	5	15	3	4	31
chr1	6650784	6674667	9903	7	19	3	5	43
chr1	6673745	6684093	148479	4	12	0	4	37
chr1	6684926	6695646	90326	5	19	1	7	51
chr1	6694228	6761984	55735	26	26	15	8	140
chr1	6845384	7829764	23261	290	410	182	17	2465
chr1	7831329	7841492	9341	6	16	10	4	77
chr1	7844380	7905237	8863	15	35	14	20	242
chr1	7903143	7913572	10911	6	19	5	7	98
chr1	7979907	8000926	3604	6	19	9	1	92
chr1	8014351	8045565	11315	7	15	6	2	124
chr1	8064464	8086368	54206	5	8	3	1	97
chr1	8377886	8404227	50651	9	21	6	6	125
chr1	8412457	8877702	473	45	90	56	8	564
chr1	8921061	8939308	2023	9	11	4	2	70
chr1	9005922	9035151	765	25	38	11	13	171
chr1	9063359	9086404	155184	17	25	9	4	148
chr1	9095166	9148537	6518	14	40	9	1	265
chr1	9160364	9189250	80045	12	18	4	2	126
chr1	9294863	9331396	9563	13	24	8	7	177
chr1	9352939	9429591	80176	25	50	26	2	348
chr1	9599541	9642831	84275	6	10	5	1	71
chr1	9648977	9674935	199953	3	12	7	3	48
chr1	9711803	9788977	5293	8	32	6	8	167
chr1	9789084	9884584	22883	8	22	2	9	143
chr1	9908334	9970394	56998	12	22	9	0	129
chr1	9982171	10003465	84328	5	15	1	1	68
chr1	10003486	10045559	64802	7	18	3	3	81
chr1	10057255	10076078	116362	0	7	0	0	34
chr1	10092890	10241297	10277	16	34	10	3	174
chr1	10270764	10441661	23095	17	43	25	13	304
chr1	10458649	10480201	5226	4	14	3	5	83
chr1	10516579	10532583	1676	6	12	1	3	72
chr1	10532345	10690815	5195	43	69	35	5	398
chr1	10696661	10856707	54897	37	67	18	11	365
chr1	11072414	11085796	23435	6	16	5	3	85
chr1	11086062	11107296	10747	5	19	2	5	85
chr1	11114641	11120081	6723	2	11	1	3	82
chr1	11126675	11159938	5394	4	16	3	10	172
chr1	11166592	11322564	2475	12	28	26	15	411
chr1	11249398	11256038	10218	1	11	4	2	48
chr1	11333263	11356106	29914	3	9	3	0	63
chr1	11539223	11597641	57540	18	31	14	17	194
chr1	11708283	11715842	26232	6	13	2	3	72
chr1	11714432	11723384	93611	5	11	1	6	85
chr1	11724150	11734411	26270	5	15	2	10	100
chr1	11734538	11751707	10459	4	18	5	9	126
chr1	11751786	11785914	374946	8	22	6	4	167
chr1	11796141	11814859	57085	7	19	5	5	103
chr1	11821844	11849642	284498	17	32	7	47	210
chr1	11845780	11866977	4524	14	60	8	30	195
chr1	11866207	11903201	1185	15	90	20	14	197
chr1	11905766	11908402	4878	7	45	10	8	70
chr1	11917521	11918992	4879	8	35	4	2	61
chr1	11994262	12035599	5351	8	24	0	6	145
chr1	12040238	12073571	9927	9	18	4	9	140
chr1	12079523	12092102	60672	5	15	1	6	62
chr1	12123434	12204264	943	20	47	15	6	244
chr1	12227060	12269285	7133	21	35	16	7	125
chr1	12290124	12572099	55187	20	35	14	6	251
chr1	12627939	12677737	9249	26	41	11	10	223
chr1	12704566	12727097	343066	6	17	7	1	77
chr1	12776118	12788726	126767	9	26	11	5	98
chr1	12806163	12823847	93190	7	20	7	1	118
chr1	12834984	12838049	390999	3	10	2	2	43
chr1	12851546	12856777	65121	3	11	3	5	89
chr1	12884468	12891264	440560	1	6	0	2	176
chr1	12916941	12921764	65122	2	18	1	31	161
chr1	12952727	12958101	343071	0	0	0	4	54
chr1	12976450	12980569	441871	0	0	0	1	16
chr1	12998181	13117737	440561	0	1	0	8	120
chr1	13035543	13038381	653606	0	0	0	8	19
chr1	13328196	13331715	401940	0	0	0	0	5
chr1	13359819	13369057	343068	0	1	0	0	26
chr1	13447414	13452656	400736	0	0	0	12	9
chr1	13495254	13498260	654348	0	1	1	1	24
chr1	13668269	13673511	729528	0	0	0	0	4
chr1	13716088	13719064	391004	0	0	0	1	14
chr1	13909960	13944452	10630	28	42	16	1	163
chr1	14026693	14151569	7799	31	59	38	7	224
chr1	14925200	15444539	23254	139	251	132	4	1760
chr1	15479028	15546974	55092	33	47	36	6	416
chr1	15563065	15726779	114827	46	94	29	18	583
chr1	15736391	15756839	79180	8	16	6	2	99
chr1	15764935	15779541	11330	5	15	1	9	73
chr1	15783223	15798586	63036	5	13	2	10	82
chr1	15792404	15817895	51032	9	20	5	14	126
chr1	15814735	15853029	842	10	22	17	13	166
chr1	15853308	15918874	23341	8	22	15	15	276
chr1	15898848	15911605	79814	3	14	6	8	135
chr1	15943995	15995539	84301	4	14	10	4	139
chr1	15986364	15988217	6248	2	7	5	1	38
chr1	16008026	16061264	23207	16	22	10	10	175
chr1	16062900	16067891	284723	6	16	2	7	53
chr1	16068917	16074477	388595	6	17	2	4	61
chr1	16083102	16113089	54751	8	22	4	3	95
chr1	16174359	16266955	23013	12	21	14	15	151
chr1	16268364	16302627	7709	7	14	9	12	79
chr1	16330731	16335302	149563	5	18	6	13	130
chr1	16340523	16346089	27129	6	21	6	21	119
chr1	16345330	16360545	1187	9	25	5	30	220
chr1	16370247	16383803	1188	7	22	2	57	265
chr1	16384264	16400127	348487	7	19	0	54	190
chr1	16450832	16482582	1969	11	26	3	7	94
chr1	16524349	16539140	128272	4	14	5	12	116
chr1	16555170	16563495	79363	1	5	1	3	47
chr1	16573334	16678949	54455	10	24	15	4	199
chr1	16679070	16724640	26099	6	13	2	8	95
chr1	16713612	16763919	374955	11	20	4	12	93
chr1	16767167	16786573	55707	6	15	6	1	50
chr1	17222232	17299474	9696	5	31	4	24	261
chr1	17300997	17307330	4237	5	16	3	14	57
chr1	17312453	17338423	23400	8	23	6	9	76
chr1	17345217	17380665	6390	14	27	17	1	133
chr1	17393256	17445948	11240	17	36	36	14	271
chr1	17531621	17572501	29943	24	49	17	11	212
chr1	17575593	17610728	51702	18	38	16	11	201
chr1	17634690	17690499	23569	18	43	20	20	368
chr1	17733256	17766220	55920	6	16	6	5	102
chr1	17866330	18024369	55160	38	92	20	14	354
chr1	18081808	18153558	81569	21	44	20	3	215
chr1	18434240	18704977	84966	112	185	98	5	909
chr1	18807424	18812478	127707	19	28	7	15	97
chr1	18957500	19075360	5081	36	68	23	4	353
chr1	19166093	19186176	80834	8	21	3	10	223
chr1	19180707	19247618	8659	7	57	4	18	346
chr1	19230774	19282826	126917	7	31	7	1	190
chr1	19401000	19536770	23352	21	44	31	20	201
chr1	19542158	19578046	23065	11	33	14	19	127
chr1	19578033	19586622	51154	4	17	7	16	87
chr1	19609052	19615744	22977	5	10	2	7	40
chr1	19630459	19638640	8574	5	19	5	2	79
chr1	19638740	19660975	54896	6	28	11	8	127
chr1	19665270	19812033	832	45	65	62	2	523
chr1	19923477	19956314	440574	10	24	13	3	179
chr1	19967048	19984945	4681	7	20	4	1	125
chr1	19991780	20006055	3362	8	17	7	2	85
chr1	20008706	20126438	255104	35	59	24	9	356
chr1	20140523	20141771	54546	9	22	11	2	77
chr1	20209006	20239438	23252	14	23	5	3	87
chr1	20246502	20250110	30814	13	20	5	1	77
chr1	20301928	20306909	5320	10	20	11	4	75
chr1	20354672	20417683	5322	16	38	21	3	236
chr1	20438432	20446050	26279	6	19	7	1	67
chr1	20465819	20476879	64600	4	14	2	1	44
chr1	20489584	20501687	391013	7	17	7	2	57
chr1	20512578	20522541	127733	5	14	8	0	39
chr1	20617412	20681387	127731	31	51	27	9	223
chr1	20808884	20812713	55450	3	9	0	0	29
chr1	20825943	20834654	79594	2	12	2	1	51
chr1	20878932	20881512	163933	7	14	11	0	78
chr1	20915441	20945401	978	13	46	9	5	245
chr1	20959948	20978004	65018	9	23	18	10	127
chr1	20990507	21044510	57576	16	58	18	22	222
chr1	21046225	21059330	400745	3	15	6	9	75
chr1	21069154	21113816	50809	11	18	8	1	77
chr1	21132972	21503377	8672	27	42	46	4	552
chr1	21543740	21671997	1889	46	69	24	6	348
chr1	21766624	21811498	84224	8	14	4	13	221
chr1	21835865	21904905	249	41	45	21	13	311
chr1	21922708	21995856	5909	38	50	16	14	248
chr1	22004791	22110099	84196	29	35	19	8	183
chr1	22138758	22151714	401944	9	17	3	19	67
chr1	22148738	22263790	3339	26	63	12	55	287
chr1	22303514	22325135	23436	4	15	5	18	382
chr1	22328149	22339033	10136	4	11	4	6	200
chr1	22379120	22419437	998	8	23	16	0	76
chr1	22446461	22470462	54361	8	22	9	3	91
chr1	22778344	22857650	9923	12	32	13	7	126
chr1	22890057	22930087	2046	13	25	7	12	181
chr1	22962999	22966101	712	5	12	2	3	75
chr1	22970123	22974603	714	6	16	6	3	95
chr1	22979255	22988031	713	8	22	8	2	96
chr1	23037458	23241823	2048	54	107	45	4	539
chr1	23279542	23291797	646262	4	10	10	2	81
chr1	23345941	23410182	23028	5	23	8	5	97
chr1	23410516	23504301	7798	11	27	13	4	196
chr1	23516993	23521222	3352	2	4	5	1	82
chr1	23630264	23670853	10236	5	12	4	0	101
chr1	23685941	23695935	80818	6	15	7	4	61
chr1	23706923	23751261	6920	12	31	20	5	148
chr1	23755055	23811061	55616	8	21	16	3	137
chr1	23832922	23857712	1870	7	19	3	2	98
chr1	23884409	23886285	3399	4	7	1	2	43
chr1	24018269	24022915	6135	4	10	1	1	27
chr1	24069645	24088549	6924	3	12	2	4	34
chr1	24104895	24114722	57095	1	6	1	0	9
chr1	24117460	24122029	11313	2	7	1	0	9
chr1	24122089	24127294	2582	2	10	2	2	16
chr1	24128375	24165110	3155	4	13	1	3	55
chr1	24171567	24194784	2517	1	24	0	14	122
chr1	24197016	24239852	1269	0	30	0	13	273
chr1	24382525	24438665	127294	32	53	22	27	249
chr1	24446261	24469611	58985	16	26	8	6	102
chr1	24480647	24514449	163702	16	33	10	4	185
chr1	24645881	24690972	57822	10	31	12	5	136
chr1	24683489	24743424	90529	16	31	24	10	192
chr1	24742284	24799466	57185	15	31	17	7	199
chr1	24829387	24863506	11123	11	19	7	4	151
chr1	24882602	24935819	400746	18	35	14	1	390
chr1	24958207	24999771	10250	3	8	4	0	46
chr1	25071848	25170815	25932	5	16	10	1	107
chr1	25226002	25291612	864	19	34	21	1	221
chr1	25549170	25558993	25949	3	12	1	0	23
chr1	25568740	25594327	57035	1	8	0	1	47
chr1	25598981	25656936	6007	0	5	0	4	114
chr1	25664408	25688852	23585	2	10	0	0	68
chr1	25688741	25756683	6006	2	15	2	2	192
chr1	25757388	25826700	55219	2	10	3	0	163
chr1	25870071	25895377	26119	7	12	1	3	92
chr1	25943959	26112698	57134	24	46	40	5	386
chr1	26145131	26159432	56181	2	21	4	6	69
chr1	26160497	26185903	79000	3	16	8	1	92
chr1	26187701	26197744	164091	2	11	3	0	44
chr1	26212214	26233482	3925	6	10	3	0	57
chr1	26286258	26324648	5051	8	18	14	1	111
chr1	26346375	26362955	2134	6	21	4	4	67
chr1	26363743	26372624	7780	4	16	4	2	61
chr1	26377795	26394927	84676	8	21	8	4	88
chr1	26437664	26452034	149420	3	13	7	2	77
chr1	26485511	26489119	79927	6	17	1	5	62
chr1	26496362	26498551	51042	4	15	2	7	63
chr1	26503975	26516375	10256	11	23	4	18	93
chr1	26517119	26529459	378807	12	19	3	23	84
chr1	26560691	26605299	64793	14	24	8	12	189
chr1	26605667	26608007	83442	5	15	3	11	70
chr1	26607819	26644854	91544	7	29	6	16	169
chr1	26644448	26647014	1043	3	14	2	6	75
chr1	26648350	26680621	55057	11	29	8	18	164
chr1	26688125	26701013	257101	12	21	4	6	120
chr1	26737269	26756213	79727	8	17	4	1	76
chr1	26758773	26797793	79947	8	22	4	3	78
chr1	26856258	26901521	6195	15	29	11	13	132
chr1	27022522	27108601	8289	3	10	4	2	28
chr1	27113963	27124889	55650	0	2	0	0	5
chr1	27153201	27183406	84243	3	12	4	0	33
chr1	27189653	27190947	2810	1	7	0	0	21
chr1	27205773	27216788	54707	1	10	1	2	22
chr1	27216979	27226962	63906	2	12	0	2	19
chr1	27226729	27273353	10726	6	30	3	4	37
chr1	27237980	27240457	8431	1	13	1	1	19
chr1	27276053	27286897	126695	4	11	1	3	18
chr1	27331511	27339333	115572	2	7	1	2	9
chr1	27425306	27493472	6548	5	16	7	3	88
chr1	27561007	27635110	23038	5	11	6	0	71
chr1	27648636	27662891	84065	3	9	2	1	32
chr1	27668513	27680421	84958	6	18	2	13	42
chr1	27681670	27693383	9064	5	14	1	13	37
chr1	27695603	27701315	8547	3	11	1	7	32
chr1	27705666	27709870	388611	0	10	1	1	31
chr1	27719148	27722318	2827	2	9	2	0	29
chr1	27730730	27816669	10163	7	17	5	1	130
chr1	27860546	27930942	27245	8	22	5	3	61
chr1	27938575	27961788	2268	5	15	7	1	57
chr1	27992572	27998729	2537	2	7	4	1	43
chr1	28052490	28089633	199870	7	15	6	2	96
chr1	28099694	28150963	23673	4	22	9	0	116
chr1	28157289	28178187	5511	2	18	3	1	54
chr1	28199055	28213196	9473	7	16	8	5	79
chr1	28218035	28241257	6118	8	18	11	4	123
chr1	28261504	28285668	27293	15	28	4	4	138
chr1	28285973	28294607	55113	7	15	2	3	46
chr1	28296855	28415207	2140	12	22	15	2	189
chr1	28473677	28520384	5724	2	13	5	2	48
chr1	28527068	28559536	22826	6	20	8	8	97
chr1	28562620	28573410	93974	6	13	4	6	76
chr1	28586038	28609002	83667	5	13	2	0	58
chr1	28696114	28826881	65979	8	22	5	3	442
chr1	28879597	28905051	54952	1	7	1	0	53
chr1	28915835	28969597	6883	2	10	2	0	50
chr1	28918712	28921955	115273	0	2	0	0	15
chr1	28995244	29045865	10691	3	7	2	0	80
chr1	29063133	29096287	51441	6	14	3	0	71
chr1	29138654	29190208	4985	14	25	10	2	181
chr1	29213628	29446958	2035	22	36	17	1	387
chr1	29474255	29508499	6429	5	12	3	2	84
chr1	29519385	29557454	51102	8	18	4	5	106
chr1	29563028	29653313	10076	21	39	18	12	213
chr1	31184124	31196434	4146	9	18	12	4	129
chr1	31205316	31230683	7805	13	33	10	5	106
chr1	31342313	31381608	9672	23	28	9	6	134
chr1	31404353	31538763	9698	12	15	15	3	250
chr1	31652592	31712399	79570	14	31	16	1	289
chr1	31732417	31769629	9410	6	23	10	5	149
chr1	31769842	31837783	51538	11	30	20	1	201
chr1	31838472	31849697	2170	8	18	11	1	75
chr1	31882412	31907525	347735	5	19	13	16	180
chr1	32042086	32053287	64129	3	11	4	0	63
chr1	32083287	32098119	3061	1	15	4	5	59
chr1	32095463	32110497	553115	3	15	7	5	50
chr1	32117848	32169920	1307	17	30	16	14	122
chr1	32192718	32229941	576	3	14	3	6	51
chr1	32256023	32281623	90853	6	14	3	3	65
chr1	32372022	32408177	8073	6	10	0	0	56
chr1	32479430	32526451	10657	4	6	1	0	29
chr1	32537632	32568467	55116	2	6	1	1	44
chr1	32573639	32642169	23633	2	6	2	0	64
chr1	32645287	32663886	200081	3	10	0	2	29
chr1	32665987	32670988	79140	3	10	0	2	19
chr1	32671262	32674288	55721	2	10	0	3	16
chr1	32674695	32681797	149069	2	11	1	3	24
chr1	32680073	32687960	56063	3	8	2	5	27
chr1	32687529	32697205	8668	2	6	3	3	32
chr1	32712834	32714457	84734	3	9	0	1	29
chr1	32716840	32751766	3932	4	11	1	1	47
chr1	32757687	32799236	3065	0	6	2	0	38
chr1	32799433	32801980	65108	0	3	1	0	7
chr1	32827798	32829913	81629	2	7	1	0	15
chr1	32830704	32860332	55108	5	13	2	0	28
chr1	32930658	33066591	653121	14	23	8	0	243
chr1	32930658	33002129	728116	9	8	5	0	127
chr1	33116749	33151812	5928	6	19	4	6	145
chr1	33145507	33169197	81493	4	14	6	4	99
chr1	33207486	33240571	57648	5	12	4	4	61
chr1	33240840	33283754	8565	6	16	6	6	81
chr1	33283043	33324476	64766	9	24	5	1	62
chr1	33327869	33338083	252995	4	14	4	0	31
chr1	33351595	33364042	3208	3	12	2	0	27
chr1	33360195	33367039	113452	3	10	2	0	17
chr1	33402046	33430349	127544	8	10	2	3	65
chr1	33473585	33502593	204	3	9	3	3	47
chr1	33546705	33586131	113451	4	17	4	0	47
chr1	33611003	33647671	55223	9	19	8	2	89
chr1	33722146	33766320	149076	9	17	6	2	83
chr1	33789224	33896653	1912	19	32	21	6	310
chr1	33938232	33961995	7579	10	22	7	4	75
chr1	33979609	34631443	114784	212	305	169	16	1582
chr1	34632484	34684732	84970	22	33	19	4	188
chr1	35220648	35224113	2709	0	13	0	2	74
chr1	35225342	35229325	127534	0	13	0	2	71
chr1	35246790	35251970	2707	0	15	0	7	82
chr1	35258599	35261348	2701	0	20	0	7	91
chr1	35331037	35395186	58512	14	27	6	2	112
chr1	35447134	35497569	9204	4	14	6	4	125
chr1	35525387	35581460	79830	3	15	2	3	112
chr1	35641979	35658749	6421	5	17	6	4	100
chr1	35734568	35887659	9202	8	24	7	2	217
chr1	35899091	36023551	79932	12	26	13	4	161
chr1	36023074	36032875	23154	1	11	4	2	32
chr1	36038971	36060929	339488	1	15	2	2	58
chr1	36042938	36107445	5690	5	22	8	0	110
chr1	36179476	36185073	127703	1	7	1	0	25
chr1	36185819	36235568	63967	7	17	7	7	62
chr1	36273773	36323491	192670	2	10	2	3	48
chr1	36335409	36389900	26523	5	13	5	3	53
chr1	36396319	36522063	192669	7	17	10	0	118
chr1	36549676	36553876	27285	3	16	2	4	43
chr1	36554476	36559533	54936	5	16	4	6	51
chr1	36560837	36590821	1296	9	22	5	6	103
chr1	36602173	36615098	27095	4	13	4	1	74
chr1	36621194	36646450	55700	9	18	8	2	92
chr1	36690017	36770958	9967	7	25	11	3	136
chr1	36771988	36790487	79729	3	19	2	3	48
chr1	36787632	36789755	55194	3	10	0	2	27
chr1	36805225	36851497	83931	11	21	10	3	97
chr1	36856839	36863493	84967	6	20	8	0	104
chr1	36881428	36916052	127700	12	26	14	12	248
chr1	36921319	36930038	64960	8	25	11	8	102
chr1	36931644	36948879	1441	9	25	8	6	91
chr1	37261128	37499730	2899	36	87	70	3	504
chr1	37940153	37949978	80149	4	15	4	3	51
chr1	37951915	37980375	64769	7	18	2	5	96
chr1	38002142	38019903	79753	0	12	2	4	40
chr1	38022520	38032458	7802	1	13	3	5	39
chr1	38032417	38061536	29889	5	15	5	7	61
chr1	38076951	38100595	284654	3	17	4	4	73
chr1	38147242	38157914	54955	3	16	6	4	75
chr1	38158090	38175391	55143	7	18	7	7	105
chr1	38179561	38230824	284656	18	42	10	19	222
chr1	38259542	38267278	149175	2	13	3	1	45
chr1	38268616	38273857	79693	2	13	2	1	26
chr1	38272651	38275126	127687	2	11	1	1	26
chr1	38279851	38325292	4520	2	14	1	6	89
chr1	38326369	38412729	3633	0	24	3	10	197
chr1	38422647	38456593	10946	5	17	5	7	108
chr1	38462442	38471278	2275	4	11	1	1	46
chr1	38474930	38490496	51118	7	12	1	0	40
chr1	38509523	38512450	5453	5	7	1	0	40
chr1	39303870	39325495	64121	6	15	6	4	83
chr1	39328636	39347289	26292	9	16	9	8	88
chr1	39339358	39347289	81025	8	14	7	7	74
chr1	39351479	39407471	54933	14	30	12	2	246
chr1	39456916	39484692	79647	4	18	7	5	179
chr1	39491990	39500308	4725	2	10	4	0	124
chr1	39546988	39952789	23499	45	86	39	23	635
chr1	39957318	39991607	353500	4	19	4	7	145
chr1	40026485	40042521	8761	3	14	8	4	65
chr1	40089825	40105617	26508	9	17	5	1	74
chr1	40124793	40137710	84618	6	16	4	1	79
chr1	40144320	40157361	51440	7	21	10	5	127
chr1	40157854	40229586	10450	19	35	17	10	245
chr1	40222854	40254533	656	4	13	4	8	160
chr1	40235195	40237020	64064	0	5	0	4	47
chr1	40306708	40349183	54802	13	20	10	3	139
chr1	40361098	40367925	4610	5	8	1	1	48
chr1	40420802	40435638	84879	4	12	2	2	54
chr1	40505905	40538321	10487	12	22	14	1	157
chr1	40538377	40563375	5538	18	22	8	4	133
chr1	40627045	40706593	6018	10	26	5	2	239
chr1	40711619	40717363	127391	1	15	2	2	57
chr1	40723779	40759856	10269	8	22	6	2	97
chr1	40766159	40783488	1298	5	18	5	7	110
chr1	40810522	40888998	64744	17	30	14	5	200
chr1	40915771	40929390	65243	9	18	9	2	75
chr1	40942887	40962015	339559	3	13	6	1	69
chr1	40974413	40982228	64789	5	12	5	2	65
chr1	40997233	41013841	127396	9	18	9	5	121
chr1	41086351	41131329	9783	14	25	14	3	114
chr1	41157242	41237277	4802	13	22	19	4	185
chr1	41249684	41306124	9132	15	39	16	10	175
chr1	41326729	41328018	163732	4	11	2	3	86
chr1	41445007	41478235	1503	7	19	3	5	112
chr1	41481269	41488909	200172	2	17	2	4	54
chr1	41492874	41707826	22955	23	37	30	5	456
chr1	41827594	41849262	100132074	13	14	12	2	99
chr1	41944446	41950344	1907	13	19	2	1	77
chr1	41972036	42501596	59269	122	209	135	8	1172
chr1	42619092	42621495	2981	7	14	2	3	35
chr1	42628362	42630389	2980	5	13	2	3	39
chr1	42642210	42801548	22887	14	32	14	3	233
chr1	42846466	42880850	284716	11	15	11	2	156
chr1	42896000	42921938	84217	8	20	15	4	123
chr1	42921788	42948411	79717	4	12	3	2	99
chr1	42929001	43120335	728621	16	50	26	8	574
chr1	43124048	43142429	10465	8	13	3	3	50
chr1	43148098	43168020	4904	7	10	4	0	54
chr1	43198764	43205925	149461	2	14	2	5	48
chr1	43212045	43232755	64175	5	23	2	5	70
chr1	43232940	43264127	79078	8	19	3	1	68
chr1	43272723	43282923	374969	6	10	4	1	40
chr1	43282795	43310660	114625	14	22	10	5	68
chr1	43312280	43318148	51058	10	13	4	1	44
chr1	43391519	43424530	6513	16	29	12	4	198
chr1	43610029	43622067	440585	6	24	12	6	128
chr1	43629855	43727589	10969	27	59	21	21	336
chr1	43766664	43788779	7075	5	17	6	6	48
chr1	43803475	43818443	4352	1	16	2	4	25
chr1	43824626	43828874	991	2	8	1	3	16
chr1	43829068	43833699	64834	2	11	3	3	24
chr1	43849588	43855483	112950	0	12	3	1	32
chr1	43855553	43878462	149469	3	13	3	3	48
chr1	43886428	43918321	23334	9	15	7	12	57
chr1	43916824	43919634	81888	6	9	4	8	26
chr1	43990858	44089343	5792	18	43	19	17	256
chr1	44115797	44171188	9682	6	20	11	1	123
chr1	44173216	44396831	6487	37	85	41	4	532
chr1	44412611	44433694	9670	7	20	10	7	60
chr1	44435653	44439043	1802	4	13	3	8	29
chr1	44440617	44443967	533	2	11	3	7	28
chr1	44444615	44456840	8704	3	15	2	9	39
chr1	44457031	44462200	149473	4	7	0	7	34
chr1	44462155	44497134	6536	11	18	3	5	83
chr1	44584522	44600812	128209	12	18	6	4	87
chr1	44679127	44686353	55929	0	5	2	4	17
chr1	44686742	44820939	79033	13	20	23	4	154
chr1	44870866	45117396	55182	65	119	51	0	599
chr1	45100910	45140227	79639	8	21	4	0	118
chr1	45205490	45233439	11004	6	13	2	5	92
chr1	45240923	45244451	6202	2	7	1	2	31
chr1	45249257	45253377	266675	2	8	1	2	37
chr1	45265897	45271662	1263	4	10	2	8	52
chr1	45271585	45272957	343521	3	7	1	8	43
chr1	45274154	45281257	149478	3	14	1	8	50
chr1	45285516	45308735	8643	6	30	3	9	85
chr1	45316450	45452282	8891	15	29	24	6	392
chr1	45468212	45477027	79654	2	13	5	11	64
chr1	45477819	45481247	7389	2	13	4	11	52
chr1	45482071	45771881	57643	25	48	18	10	489
chr1	45792545	45794347	84842	5	11	4	3	24
chr1	45794914	45806142	4595	6	14	7	5	33
chr1	45805342	45809647	114034	5	11	7	5	25
chr1	45809555	45956840	10420	14	33	15	5	251
chr1	45965725	45979054	25974	3	22	5	4	83
chr1	45976708	45988719	5052	2	14	7	2	105
